"";"data"
"1";"RT @officialroycey: Nipping up to my local Cricket Club, if there's not 24 #Santander girls lining the pathway to the entrance ill be gutte…"
"2";"#BritishGP.     Pit stop times seem  slower for Lewis than Nico ?"
"3";"Watching the race again!  :)#F1#BritishGP"
"4";"Race winner @LewisHamilton ... @MercedesAMGF1 @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/8QnE5SgNbH"
"5";"Race winner @LewisHamilton ... @MercedesAMGF1 @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/gww6WuG1M0"
"6";"RT @Formula1game: COMPETITION: RT &amp; FOLLOW for a chance to win a prize bundle from @PirelliSport! #BritishGP #F1 http://t.co/YOFh26z3R8"
"7";"Warriors are born not made!60 yrs #Mercedes have waited! He cometh @MercedesAMGF1 They hailed Fangio! Now hail - Lewis Hamilton #BritishGP"
"8";"RT @F1_Images: #Maldonado #Gutierrez #Silverstone50 #Silverstone #BritishGP #BritishGP2014 #formula1 #F1 http://t.co/YpFLfyhNoY"
"9";"Jude Law, actor | 2014 #F1 #BritishGP #Silverstone, Jul 06 #race*pic via motorsport by XPB Images | #F1FansClub... http://t.co/vRN02eLjOk"
"10";"RT @glenn_dunbar: Great 2nd place for #BO77AS @WilliamsRacing #BritishGP http://t.co/K8gFlDPu1k"
"11";"@MercedesAMGF1's @LewisHamilton w/ @therealdcf1 on the podium .... @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/GA1FoWA6bi"
"12";"What a weekend. #F1 #Silverstone50 #LewisHamilton #BritishGP"
"13";"RT @NickMcElwee: Everyone's lovin' the Red Arrows at @SilverstoneUK #BritishGP #Silverstone50 http://t.co/vAJV593N6O"
"14";"RT @pumamotorsport: .@RedArrowsUK in the sky #SilverArrows on track. What more could you ask for? @MercedesAMGF1 #BritishGP http://t.co/sqn…"
"15";"RT @MercedesBenzUK: .@LewisHamilton has done it! British champion at the #BritishGP and an incredible result for @MercedesAMGF1! http://t.c…"
"16";"So obviously Kimi survived from 47G http://t.co/GnFNyKABmz #BritishGP"
"17";"RT @officialroycey: Just seen another 30 #Santander girls lurking behind the podium. ..They are everywhere! Nice one Santander!  #Briti…"
"18";"Monday's Times back page - ""Hamilton gets national pride back on track"" #tomorrowspaperstoday #bbcpapers #BritishGP http://t.co/K8aib6wkdp"
"19";"RT @redbullracing: Sebastian's thoughts after the #BritishGP. Full race report &amp; team reaction here: http://t.co/8DnqsXot0b http://t.co/QM3…"
"20";"RT @redbullracing: Christian's thoughts after the #BritishGP. Full race report &amp; team reaction here: http://t.co/8DnqsXot0b http://t.co/jc8…"
"21";"RT @SkySportsF1: Miss @tedkravitz's #BritishGP notebook? Watch on #SkyF1 at 7.15pm or via the #SkyF1 website: http://t.co/j1rjQ9iQrE http:/…"
"22";"Managed to capture some of the first-lap Raikkonen crash on camera! #F1 #BritishGP http://t.co/mlDdxWgmYN"
"23";"RT @RachelBrookesTV: He did get his hands on the gold trophy in the end! #BritishGP #skyf1 #silverstone @LewisHamilton http://t.co/SDd0wffw…"
"24";"Well done @LewisHamilton fantastic drive !! #BritishGP http://t.co/ZFVFzRvziT"
"25";"RT @InfinitiGP: Don't forget to follow &amp; RT to WIN these #SignedGloves from #Vettel &amp; @danielricciardo #BritishGP http://t.co/ZAr0hoesxk"
"26";"RT @F1Gate: <U+5C0F><U+6797><U+53EF><U+5922><U+5049> <U+300C><U+30EA><U+30B9><U+30BF><U+30FC><U+30C8><U+5F8C><U+306B><U+7A7A><U+529B><U+306E><U+30D0><U+30E9><U+30F3><U+30B9><U+304C><U+5909><U+308F><U+3063><U+3066><U+3057><U+307E><U+3063><U+305F><U+300D> http://t.co/FVNwNdCzt3 #F1 #f1jp #kamui #BritishGP http://t.co/VQyk8sStBG"
"27";"Race winner @LewisHamilton ... @MercedesAMGF1 @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/KHG9Jy0DiS"
"28";"RT @F1_Images: It's Race Day!!! #BritishGP #Silverstone50 #Formula1 #F1 http://t.co/gyR51eIqt0"
"29";"RT @MercedesAMGF1: WARNING: This tweet contains possibly the most heart-melting image of all time... :) @LewisHamilton #F1 #BritishGP http:…"
"30";"@LewisHamilton | #F1 | #Mercedes | #BritishGP | @SilverstoneUK | http://t.co/AnUwoe2fhs"
