,0
0,Funny seeing all the Palmer slander under every 2017 race video now that we love the dude in 2021
1,Shitcedes
2,"I was stood down at Brooklyn's corner for this race, when Seb got his puncture, my dad was the first one to notice and the reaction  from the crowd was hilarious 😂😂😂😂😂"
3,Seeing Vettel lose is always fun. What a great day.
4,so you had not that mich fun yesterday?
5,4:30
6,"no se si habrá algún Argentino acá, pero a esta carrera fueron a ver Canapino y el padre..."
7,Impossible From FORMULA 1
8,Love Formula 1
9,Can't stand Crofty constantly repeating corners' names. he oes it always on UK GP.
10,Channel Nougetsia Brumblestain
11,"6:13 When Lewis enjoying his champaign by spraying it around, 2 Finns are enjoying their champaigns by drinking in same style and same angle 🤣😂🤣😂🤣👌🍾🍾🥂"
12,"Nick name TORPEDO,TORPEDO!!!"
13,"The petite ocean astonishingly move because seat correspondingly amuse aboard a madly bow. healthy, three record"
14,"The purple government conceivably check because trouble worryingly remove around a picayune mask. ambiguous, harsh celsius"
15,0:59 looking for these??? I think im the only one looking for that.....
16,Ester thunik
17,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
18,Miss you Niki
19,2:20
20,interesting
21,Brawo Kimi Raikkonen!!!
22,NOTE: THE 2017 F1 BRITISH GP TOOK PLACE AFTER AIKATSU ON PARADE SEASON 1 EPISODE 18.
23,One two is quite a show
24,Vettel lost 10 points because of puncture and Hamilton luckiesr of all time
25,Ham got the Win but Ferrari might Just stay on podium but the tyre gone Kimi lost it be 4 but Seb fall behind his German mate Hulk
26,나 운전면허 딸때도 옆에 아저씨가  운전 조심해야겠다고 속도를 너무 낸다고 ㅋㅋㅋ
27,My dream was lolol
28,"2017: Double Ferrari Puncture
2020: Double Mercedes Puncture"
29,"3 Years later, both Mercs had a puncture"
30,Front left tyre flashback
31,Why is Ric always starting from the back on 2017?
32,Same happened in 2020 to hamilton and bottas
33,Karma the 2020😏
34,Torpedo crash at british gp in 2020
35,I'm here as Ferrari 2017 British GP=Mercedes 2020 British GP
36,2020
37,"Dns at the start
Kvyat crash
Puncture for both drivers in a team
Max pitting and missing out on a place
This is like 2020🤯🤯"
38,Who's there after Mercedes tyre failures in the last two laps?
39,Pirelli practicing for 2020
40,mercedes at 2020 gp be like
41,Who's back to see Ferrari's catastrophe after Mercedes' one in 2020 in Silverstone?
42,@soupe2000 😂😂😂 🧂🧂🧂 doctor says too much sodium is bad for your health
43,@soupe2000I mean lewis
44,@soupe2000 he is not even good
45,Ppl honestly are dumb
46,Ikr
47,Anyone else here after British GP 2020?
48,Me for some reason
49,Yup
50,Who is here after Mercedes double puncture?
51,Me
52,Soooooo who's here after the 2020 gp
53,Me for some reason
54,Me
55,Who is here after final lap Mercedes double puncture three years later?
56,@Parham Azadi well vettel needet to push. But Ham can just do tiremanagement an is nearly as fast as max
57,@Simone Bolognani lol atleast he didn't lock up like Vettel to puncture his tyre earlier
58,yes but luckhamilton has won it again
59,Who's watching after the 2020 British GP 👀
60,"2020 BRITISH GRAND PRIX:
The Prequel"
61,PUNCTURE
62,who's here after this happened to both mercedes at silverstone 2020?
63,2020 was like a 2.0 version of this race. Except it ended well for Mercedes
64,As always
65,From 2020... this shit happened again
66,Who is here after Silverstone 2020 hands up 👆🏾 😅
67,@Shaggy Raggy hi man.
68,🖐
69,@Themes me too after 2020 F1 Tuscan GP.
70,"Damar Fadlan Maybe this year, but as a whole no. I’d rather watch a good F1 season than a good FE season. Anyway I feel like FE is a bit too much artificially engineered; lots of it is purposefully made exciting instead of rewarding the faster car and driver."
71,@Antony Di Gerlando Formula E season 6 recently is way better than F1.
72,"Hamilton's American accent is so strange, why does he try to pretend to be American, especially when talking to the British fans!?"
73,are you American? because thats no American accent
74,"04:21 only for Italians:

""Questo e un punto di merda"""
