"","X.1","X","RaceID","Year","Grand_prix","Date","Total_tweets","Useful_tweets","Positive_tweets","Negative_tweets","Excitement_index","novertakes","wetweather","unfin","totaldrivers","constructorWon"
"1",1,0,1059,2021,"French Grand Prix","2021-06-20",10698,8478,387.196479092894,1704.82812891462,0.246759213022826,60,0,9,20,131
"2",2,1,1060,2021,"Austrian Grand Prix","2021-07-04",10768,8595,379.390307655176,1567.5281290496,0.226517560989503,38,0,11,20,1
"3",3,2,900,2014,"Australian Grand Prix","2014-03-16",2320,1771,176.750064305393,291.020420033562,0.264127885002233,30,0,12,22,131
"4",4,3,901,2014,"Malaysian Grand Prix","2014-03-30",3622,2661,307.03795331877,381.135812634199,0.258614718509196,33,0,14,22,131
"5",5,4,902,2014,"Bahrain Grand Prix","2014-04-06",3498,2718,378.333039934606,364.383221573851,0.273258374359256,74,0,7,22,131
"6",6,5,903,2014,"Chinese Grand Prix","2014-04-20",2464,1742,188.402505107742,275.540431986426,0.266327748044873,42,0,13,22,131
"7",7,6,904,2014,"Spanish Grand Prix","2014-05-11",1889,1399,180.743847790982,180.864442459797,0.258476261794695,43,0,16,22,131
"8",8,7,905,2014,"Monaco Grand Prix","2014-05-25",5640,4148,498.411992769391,629.752645413832,0.271977974489687,10,0,18,22,131
"9",9,8,906,2014,"Canadian Grand Prix","2014-06-08",2668,2151,315.845582406441,284.799140144809,0.279239759438052,32,0,12,22,131
"10",10,9,907,2014,"Austrian Grand Prix","2014-06-22",2172,1545,165.611884031002,224.133433954821,0.252262341738396,43,0,11,22,131
"11",11,10,908,2014,"British Grand Prix","2014-07-06",11237,8165,1223.07564966948,1060.11876054657,0.279631893474103,43,0,13,22,131
"12",12,11,909,2014,"German Grand Prix","2014-07-20",2686,1961,234.484848268427,281.229211726977,0.262985242221011,92,0,14,22,131
"13",13,12,910,2014,"Hungarian Grand Prix","2014-07-27",6203,4659,714.644776235988,541.601284556137,0.26963856209318,52,1,9,22,6
"14",14,13,911,2014,"Belgian Grand Prix","2014-08-24",2880,2192,205.801142343503,377.1816009561,0.265959280702373,62,0,7,22,131
"15",15,14,952,2016,"Spanish Grand Prix","2016-05-15",23972,18898,1618.95976533619,3848.77743570915,0.289328881418422,54,0,14,22,131
"16",16,15,953,2016,"Monaco Grand Prix","2016-05-29",70422,50103,3072.33626132229,11818.7037535105,0.29720855068225,14,1,15,22,131
"17",17,16,954,2016,"Canadian Grand Prix","2016-06-12",31264,22372,1458.2017672346,4881.93170802178,0.283395917899892,33,0,15,22,131
"18",18,17,955,2016,"European Grand Prix","2016-06-19",7424,5488,393.207344390449,1191.35629738464,0.28873244201441,80,0,11,22,131
"19",19,18,956,2016,"Austrian Grand Prix","2016-07-03",44994,32760,2001.77820361329,7299.21170074412,0.28391300074351,78,0,14,22,131
"20",20,19,957,2016,"British Grand Prix","2016-07-10",55241,40014,2825.19234509218,8446.69242780675,0.28169852483878,16,1,12,22,131
"21",21,20,958,2016,"Hungarian Grand Prix","2016-07-24",33937,24789,1548.42729873934,5436.80021097905,0.281787385925951,12,0,16,22,131
"22",22,21,959,2016,"German Grand Prix","2016-07-31",35459,25940,1553.43010176843,5634.66788336618,0.277104779689075,58,0,15,22,131
"23",23,22,960,2016,"Belgian Grand Prix","2016-08-28",34222,24729,1371.33564055631,5579.9361692975,0.28109797443705,50,0,7,22,131
