"","X","RaceID","Grand_Prix","year","viewcount","likecount","dislikecount","likecount.viewcount","dislikecount.viewcount","likecount.dislikecount","X.likecount.dislikecount..viewcount","commentcount","number.of.extracted.comments","numberofusefulcomments","totalpos","totalneg","Excitement_index","wetweather","unfin","novertakes","totaldrivers","constructorWon"
"1",0,988,"Abu Dhabi",2017,2816705,23149,803,0.008218468032684,0.000285084877543,23952,0.008503552910227,1753,1320,830,169.392095447404,455.030011690266,0.752315791732132,0,12,12,20,6
"2",1,987,"Brazil",2017,4253373,34737,842,0.008166930104649,0.000197960536261,35579,0.00836489064091,1811,1358,866,200.338897064122,440.491692076676,0.739989132957042,0,11,37,20,131
"3",2,986,"Mexico",2017,401925,7934,152,0.019740001244013,0.000378180008708,8086,0.020118181252721,452,401,251,75.2271708683473,111.3831232493,0.743467307241622,0,16,26,20,6
"4",3,985,"US",2017,3996465,30279,1181,0.007576445683873,0.000295511157986,31460,0.007871956841859,2032,1424,945,184.238396592529,506.647871714545,0.731096580219127,0,13,44,20,131
"5",4,984,"Japanese",2017,4072643,28334,1134,0.00695715288573,0.000278443261538,29468,0.007235596147269,2390,1677,1075,242.784242909742,547.265355954378,0.734929859408484,0,11,19,20,131
"6",5,983,"Malaysian",2017,4136684,35656,903,0.008619464285887,0.000218290785566,36559,0.008837755071453,2212,1626,1021,252.315603591455,503.602085569229,0.740369920823393,0,14,33,20,6
"7",6,982,"Singapore",2017,7560921,46445,2065,0.006142770173105,0.00027311487582,48510,0.006415885048925,3758,2800,1750,335.213584377792,978.314053600405,0.750587221701827,1,9,16,20,131
"8",7,981,"Italian",2017,3643090,25229,846,0.006925165175716,0.000232220450222,26075,0.007157385625938,1850,1193,766,154.929878796911,405.965282100208,0.732239113442714,0,11,38,20,131
"9",8,979,"Hungarian",2017,4421154,34123,962,0.007718120653567,0.000217590249062,35085,0.007935710902629,1673,1324,814,184.484243810474,409.747999232524,0.730015040593363,0,14,9,20,131
"10",9,978,"British",2017,3661551,24636,1056,0.006728296287557,0.000288402373748,25692,0.007016698661305,1351,1079,660,150.163314833315,335.748516875281,0.736230048043328,0,13,39,20,131
"11",10,977,"Austrian",2017,4169470,30492,895,0.00731315970615,0.000214655579726,31387,0.007527815285876,1448,1049,647,143.551315875387,323.046230982067,0.721170860676126,0,14,13,20,131
"12",11,976,"Azerbaijan",2017,7718891,67053,1558,0.008686869655239,0.000201842466748,68611,0.008888712121987,3287,2584,1627,438.236213786214,778.053227328228,0.747565729019325,0,8,48,20,131
"13",12,975,"Canadian",2017,3362767,26456,781,0.007867330683333,0.000232249216196,27237,0.008099579899529,1608,1149,785,164.211367298445,405.29759025158,0.725489117898122,0,12,34,20,131
"14",13,974,"Monaco",2017,8250124,60215,1886,0.007298678177443,0.000228602624639,62101,0.007527280802082,2596,1905,1144,227.031648305255,626.129721997988,0.745770428586751,0,7,3,20,131
"15",14,973,"Spanish",2017,4634061,35995,1246,0.007767485149634,0.000268878635823,37241,0.008036363785457,1698,1170,697,179.452380381057,339.557062871769,0.744633347565029,0,17,20,20,131
"16",15,972,"Russian",2017,2988896,22018,647,0.007366599573889,0.00021646788647,22665,0.00758306746036,1143,937,634,152.25300076944,300.969483007532,0.714861961793333,0,12,0,20,131
"17",16,971,"Bahrain",2017,4501931,32216,889,0.007156040374675,0.000197470818633,33105,0.007353511193308,1577,1260,830,177.798414090656,418.172085273517,0.718036746221895,0,10,38,20,131
"18",17,970,"Chinese",2017,3618892,26155,872,0.007227350249745,0.000240957729603,27027,0.007468307979348,1329,956,645,170.024554732707,295.694231493144,0.722044629807522,0,13,36,20,131
"19",18,969,"Australian",2017,3555145,34263,771,0.009637581589499,0.000216868791568,35034,0.009854450381067,1669,1369,889,250.430208930209,382.878617353617,0.712383381646599,0,14,2,20,131
"20",19,1009,"Abu Dhabi",2018,4750330,47401,1124,0.009978464654035,0.000236615140422,48525,0.010215079794456,2825,2044,1330,296.871010832967,635.244790796964,0.700838948593933,0,12,38,20,6
"21",20,1008,"Brazilian",2018,3719312,34961,1124,0.0093998567477,0.000302206429576,36085,0.009702063177276,4733,3329,2329,387.734063128992,1183.00231964806,0.674425239492078,0,11,52,20,6
"22",21,1007,"Mexican",2018,3756671,34827,962,0.009270708028465,0.00025607778802,35789,0.009526785816485,2585,1880,1281,284.575992714856,598.38876341964,0.689277717513267,0,16,36,20,131
"23",22,1006,"United States",2018,5097361,57738,961,0.011327037657329,0.000188528927027,58699,0.011515566584356,5767,4570,3047,999.531965492738,1180.09252195813,0.715334587282859,0,12,31,20,6
"24",23,1005,"Japanese",2018,4545206,40469,1649,0.008903666852504,0.000362799837895,42118,0.009266466690399,4826,3358,2318,455.086392611884,1169.94021980473,0.701046856089996,0,11,60,20,131
